id,customer_id,customer_name,gender,phone_number,province,biz_type,monthly_income,product_interest,potential,customer_behavior,bank_info,amount,interest_rate,loan_type,tenure,start_year,latitude,longitude,visit_date,created_at
13,CUST1012,Dara Savuth,F,063 425 1915,Battambang,Grocery,21520.0,Personal Loan,H,Hesitant,Canadia,44711.0,10.2,Loan,36,2025,13.03466,103.187373,2025-08-12 23:56:40,2025-09-11 23:56:40
14,CUST1013,Vannak Kim,M,025 425 8174,Phnom Penh,Phone Repair,17130.0,Business Loan,L,Hesitant,Canadia,38388.0,11.1,Loan,12,2025,11.583465,104.892555,2025-07-09 23:56:40,2025-09-11 23:56:40
15,CUST1014,Ravy Kim,M,063 657 9351,Phnom Penh,Grocery,12650.0,Savings Account,H,Aggressive,ABA,24336.0,10.9,Loan,24,2025,11.518547,104.96533,2025-06-30 23:56:40,2025-09-11 23:56:40
16,CUST1015,Dara Heng,M,075 610 3513,Phnom Penh,Fruit Vendor,29750.0,Business Loan,M,Aggressive,ABA,48428.0,11.1,Loan,36,2024,11.548062,104.945955,2025-08-24 23:56:40,2025-09-11 23:56:40
17,CUST1016,Dara Kim,F,061 146 3051,Battambang,Phone Repair,20230.0,Personal Loan,M,Hesitant,Canadia,39032.0,6.3,Loan,12,2023,13.020342,103.473699,2025-06-18 23:56:40,2025-09-11 23:56:40
18,CUST1017,Dara Heng,F,041 849 8698,Kandal,Phone Repair,26020.0,Business Loan,H,Hesitant,ABA,38976.0,6.4,Loan,36,2023,11.203839,104.661944,2025-09-04 23:56:40,2025-09-11 23:56:40
19,CUST1018,Vannak Kim,F,073 266 7842,Phnom Penh,Phone Repair,28650.0,Personal Loan,M,Interested,Canadia,31310.0,8.2,Loan,36,2025,11.599241,104.939494,2025-06-29 23:56:40,2025-09-11 23:56:40
20,CUST1019,Bopha Savuth,M,012 463 3771,Kandal,Fruit Vendor,11550.0,Savings Account,M,Friendly,Canadia,1193.0,8.1,Loan,12,2024,11.270159,104.957786,2025-07-27 23:56:40,2025-09-11 23:56:40
21,CUST1020,Dara Pich,M,030 769 9298,Kandal,Coffee,12810.0,Business Loan,M,Aggressive,ACLEDA,34918.0,11.9,Loan,12,2024,11.61544,104.741584,2025-06-26 23:56:40,2025-09-11 23:56:40
22,CUST1021,Vannak Savuth,F,026 563 1432,Siem Reap,Coffee,26100.0,Business Loan,M,Hesitant,ACLEDA,43392.0,14.6,Loan,36,2023,13.226953,103.792553,2025-06-26 23:56:40,2025-09-11 23:56:40
23,CUST1022,Sok Heng,M,047 360 4342,Phnom Penh,Fruit Vendor,6360.0,Savings Account,L,Interested,Canadia,27250.0,14.9,Loan,24,2023,11.608311,104.882333,2025-08-07 23:56:40,2025-09-11 23:56:40
24,CUST1023,Sok Savuth,M,025 602 6078,Kandal,Coffee,15450.0,Savings Account,M,Friendly,ACLEDA,1648.0,11.0,Loan,36,2025,11.732792,105.062476,2025-07-19 23:56:40,2025-09-11 23:56:40
25,CUST1024,Dara Savuth,F,088 805 5249,Kandal,Coffee,8640.0,Personal Loan,M,Interested,ACLEDA,2099.0,13.4,Loan,24,2024,11.262884,104.775633,2025-09-01 23:56:40,2025-09-11 23:56:40
26,CUST1025,Sok Heng,F,093 997 8059,Siem Reap,Coffee,14140.0,Business Loan,M,Friendly,Canadia,2350.0,13.0,Loan,12,2023,13.182243,103.909515,2025-07-20 23:56:40,2025-09-11 23:56:40
27,CUST1026,Ravy Pich,M,020 641 5103,Battambang,Fruit Vendor,18730.0,Business Loan,H,Aggressive,ABA,14196.0,6.8,Loan,24,2024,13.364752,103.338981,2025-08-10 23:56:40,2025-09-11 23:56:40
28,CUST1027,Vannak Heng,F,089 748 5255,Kandal,Coffee,11210.0,Savings Account,H,Aggressive,ACLEDA,24587.0,10.1,Loan,12,2024,11.77123,105.233632,2025-08-15 23:56:40,2025-09-11 23:56:40
29,CUST1028,Sok Kim,F,076 363 6274,Phnom Penh,Coffee,4070.0,Business Loan,L,Hesitant,Canadia,47330.0,7.5,Loan,36,2023,11.513952,104.961862,2025-08-17 23:56:40,2025-09-11 23:56:40
30,CUST1029,Sok Kim,F,071 219 8806,Siem Reap,Grocery,19180.0,Personal Loan,L,Aggressive,ACLEDA,17170.0,11.8,Loan,12,2025,13.136123,103.821084,2025-07-05 23:56:40,2025-09-11 23:56:40
31,CUST1030,Sok Kim,F,021 235 6796,Phnom Penh,Fruit Vendor,22910.0,Savings Account,M,Hesitant,Canadia,31426.0,11.2,Loan,12,2025,11.569859,104.909911,2025-08-16 23:56:40,2025-09-11 23:56:40
32,CUST1031,Ravy Kim,M,085 782 1664,Phnom Penh,Coffee,4700.0,Business Loan,L,Hesitant,ACLEDA,13345.0,7.0,Loan,24,2024,11.532085,104.934827,2025-07-30 23:56:40,2025-09-11 23:56:40
33,CUST1032,Bopha Pich,M,044 694 4193,Kandal,Phone Repair,23690.0,Savings Account,M,Friendly,ACLEDA,37650.0,5.7,Loan,12,2023,11.391862,105.058757,2025-07-08 23:56:40,2025-09-11 23:56:40
34,CUST1033,Vannak Ly,M,099 445 7875,Siem Reap,Fruit Vendor,21750.0,Savings Account,H,Hesitant,ACLEDA,8460.0,6.2,Loan,36,2023,13.394947,103.835704,2025-08-22 23:56:40,2025-09-11 23:56:40
35,CUST1034,Sok Heng,M,031 861 8917,Battambang,Phone Repair,18650.0,Business Loan,L,Hesitant,ABA,2706.0,8.1,Loan,24,2024,12.830741,103.482597,2025-06-17 23:56:40,2025-09-11 23:56:40
36,CUST1035,Ravy Savuth,M,030 854 9064,Battambang,Fruit Vendor,8180.0,Personal Loan,H,Aggressive,ABA,27633.0,5.4,Loan,36,2025,13.30931,103.277475,2025-08-22 23:56:40,2025-09-11 23:56:40
37,CUST1036,Vannak Savuth,F,089 696 2343,Battambang,Coffee,13550.0,Savings Account,H,Aggressive,ACLEDA,1420.0,14.8,Loan,24,2025,13.274389,103.331423,2025-06-20 23:56:40,2025-09-11 23:56:40
38,CUST1037,Dara Kim,M,055 697 8626,Phnom Penh,Grocery,10220.0,Personal Loan,L,Friendly,ABA,49845.0,8.3,Loan,12,2023,11.551287,104.896098,2025-09-09 23:56:40,2025-09-11 23:56:40
39,CUST1038,Sok Savuth,F,069 504 6826,Phnom Penh,Fruit Vendor,26650.0,Personal Loan,H,Interested,ACLEDA,22338.0,12.6,Loan,24,2025,11.595081,104.930029,2025-07-14 23:56:40,2025-09-11 23:56:40
40,CUST1039,Ravy Heng,M,069 951 1965,Siem Reap,Grocery,23210.0,Savings Account,H,Aggressive,ACLEDA,20364.0,6.2,Loan,24,2024,13.522698,104.034646,2025-08-13 23:56:40,2025-09-11 23:56:40
41,CUST1040,Bopha Kim,F,047 175 9687,Siem Reap,Phone Repair,12290.0,Personal Loan,L,Friendly,ACLEDA,45546.0,9.4,Loan,36,2024,13.481916,104.011945,2025-06-23 23:56:40,2025-09-11 23:56:40
42,CUST1041,Dara Savuth,F,010 779 4355,Phnom Penh,Phone Repair,18860.0,Personal Loan,L,Interested,ACLEDA,36524.0,8.8,Loan,12,2023,11.531794,104.941663,2025-07-02 23:56:40,2025-09-11 23:56:40
43,CUST1042,Bopha Ly,F,014 182 2706,Siem Reap,Grocery,5780.0,Personal Loan,H,Aggressive,Canadia,24295.0,5.4,Loan,36,2025,13.565664,103.709397,2025-08-16 23:56:40,2025-09-11 23:56:40
44,CUST1043,Ravy Ly,M,090 367 2154,Siem Reap,Coffee,26960.0,Savings Account,L,Hesitant,ACLEDA,15005.0,6.8,Loan,36,2023,13.251768,103.633431,2025-07-18 23:56:40,2025-09-11 23:56:40
45,CUST1044,Sok Savuth,M,047 122 1404,Kandal,Phone Repair,6680.0,Business Loan,L,Hesitant,ABA,34160.0,6.0,Loan,12,2023,11.30401,105.074458,2025-06-19 23:56:40,2025-09-11 23:56:40
46,CUST1045,Bopha Ly,M,072 752 8294,Siem Reap,Grocery,12930.0,Savings Account,L,Hesitant,Canadia,44565.0,7.7,Loan,24,2023,13.091931,104.066002,2025-07-13 23:56:40,2025-09-11 23:56:40
47,CUST1046,Dara Kim,F,079 708 9706,Kandal,Fruit Vendor,8850.0,Personal Loan,H,Friendly,ABA,38377.0,13.0,Loan,12,2023,11.715429,105.111547,2025-08-15 23:56:40,2025-09-11 23:56:40
48,CUST1047,Dara Kim,M,016 342 1091,Kandal,Phone Repair,19010.0,Savings Account,M,Friendly,ABA,7585.0,13.0,Loan,36,2023,11.775245,104.826202,2025-07-06 23:56:40,2025-09-11 23:56:40
49,CUST1048,Vannak Ly,F,090 731 8725,Siem Reap,Phone Repair,4030.0,Business Loan,M,Aggressive,ACLEDA,26803.0,12.2,Loan,12,2025,13.589799,103.891665,2025-07-16 23:56:40,2025-09-11 23:56:40
50,CUST1049,Ravy Ly,F,060 792 2792,Kandal,Phone Repair,13840.0,Personal Loan,L,Interested,ACLEDA,4961.0,8.6,Loan,24,2023,11.186523,104.981816,2025-06-18 23:56:40,2025-09-11 23:56:40
51,CUST1050,Ravy Savuth,F,087 570 4689,Battambang,Coffee,22340.0,Personal Loan,L,Friendly,ACLEDA,35044.0,7.0,Loan,12,2023,13.262922,103.305194,2025-08-12 23:56:40,2025-09-11 23:56:40
52,CUST1051,Dara Pich,M,066 601 6781,Siem Reap,Coffee,24400.0,Personal Loan,H,Hesitant,Canadia,2848.0,6.5,Loan,24,2024,13.339746,104.109089,2025-08-03 23:56:40,2025-09-11 23:56:40
53,CUST1052,Bopha Ly,F,095 122 2033,Siem Reap,Phone Repair,6610.0,Personal Loan,M,Aggressive,ACLEDA,30584.0,10.9,Loan,36,2024,13.332321,103.920788,2025-07-24 23:56:40,2025-09-11 23:56:40
54,CUST1053,Sok Ly,M,082 539 5126,Kandal,Coffee,17650.0,Personal Loan,L,Aggressive,Canadia,9849.0,8.7,Loan,24,2024,11.672886,105.192053,2025-06-22 23:56:40,2025-09-11 23:56:40
55,CUST1054,Vannak Pich,M,089 914 9449,Kandal,Grocery,18060.0,Personal Loan,M,Friendly,Canadia,46291.0,5.5,Loan,24,2023,11.764371,104.890121,2025-07-21 23:56:40,2025-09-11 23:56:40
56,CUST1055,Dara Heng,M,030 829 2335,Kandal,Phone Repair,6520.0,Savings Account,H,Hesitant,Canadia,48098.0,14.4,Loan,12,2023,11.567187,105.160008,2025-08-21 23:56:40,2025-09-11 23:56:40
57,CUST1056,Dara Kim,M,070 890 8024,Kandal,Coffee,22370.0,Savings Account,L,Aggressive,ABA,10283.0,6.6,Loan,12,2025,11.475828,104.727329,2025-07-09 23:56:40,2025-09-11 23:56:40
58,CUST1057,Dara Savuth,M,054 853 6806,Kandal,Fruit Vendor,19580.0,Personal Loan,H,Interested,ACLEDA,32149.0,6.5,Loan,24,2023,11.189181,105.152429,2025-08-17 23:56:40,2025-09-11 23:56:40
59,CUST1058,Bopha Savuth,F,073 796 8839,Kandal,Grocery,21490.0,Savings Account,H,Friendly,Canadia,10056.0,7.4,Loan,24,2024,11.650776,105.208897,2025-06-25 23:56:40,2025-09-11 23:56:40
60,CUST1059,Sok Ly,F,062 466 3449,Siem Reap,Fruit Vendor,8650.0,Savings Account,M,Friendly,ABA,6484.0,9.0,Loan,24,2025,13.191687,103.767157,2025-09-07 23:56:40,2025-09-11 23:56:40
61,CUST1060,Vannak Heng,M,083 300 1744,Siem Reap,Phone Repair,25300.0,Business Loan,L,Hesitant,ACLEDA,24338.0,14.8,Loan,24,2025,13.643073,103.951939,2025-08-02 23:56:40,2025-09-11 23:56:40
62,CUST1061,Ravy Ly,M,018 475 9676,Battambang,Grocery,5780.0,Savings Account,M,Friendly,ABA,33809.0,7.5,Loan,12,2023,12.731692,103.420207,2025-06-20 23:56:40,2025-09-11 23:56:40
63,CUST1062,Sok Heng,F,058 340 9951,Phnom Penh,Phone Repair,3180.0,Business Loan,M,Hesitant,ACLEDA,15744.0,8.8,Loan,12,2024,11.577914,104.889743,2025-08-13 23:56:40,2025-09-11 23:56:40
64,CUST1063,Vannak Savuth,M,083 258 7725,Kandal,Grocery,22860.0,Personal Loan,L,Aggressive,Canadia,33222.0,6.3,Loan,36,2023,11.628418,104.847582,2025-07-01 23:56:40,2025-09-11 23:56:40
65,CUST1064,Ravy Pich,F,097 575 7341,Kandal,Coffee,28590.0,Savings Account,M,Aggressive,ABA,46340.0,7.4,Loan,36,2024,11.299966,105.124641,2025-07-10 23:56:40,2025-09-11 23:56:40
66,CUST1065,Dara Pich,F,054 814 7798,Siem Reap,Grocery,8120.0,Business Loan,H,Hesitant,ABA,29871.0,13.1,Loan,12,2024,13.256283,103.911374,2025-08-03 23:56:40,2025-09-11 23:56:40
67,CUST1066,Vannak Heng,M,010 311 6421,Siem Reap,Grocery,17040.0,Personal Loan,H,Interested,ABA,41973.0,13.4,Loan,12,2024,13.090511,103.823247,2025-07-23 23:56:40,2025-09-11 23:56:40
68,CUST1067,Vannak Heng,F,028 701 5743,Battambang,Coffee,20250.0,Savings Account,M,Interested,ACLEDA,49136.0,13.7,Loan,24,2025,13.094393,103.469379,2025-09-01 23:56:40,2025-09-11 23:56:40
69,CUST1068,Bopha Kim,F,082 823 8460,Kandal,Fruit Vendor,13920.0,Business Loan,H,Hesitant,ACLEDA,10751.0,14.3,Loan,24,2023,11.321757,104.777577,2025-07-31 23:56:40,2025-09-11 23:56:40
70,CUST1069,Sok Ly,M,071 454 5380,Battambang,Phone Repair,7470.0,Personal Loan,L,Friendly,ACLEDA,5749.0,9.8,Loan,24,2023,12.721372,102.980266,2025-07-02 23:56:40,2025-09-11 23:56:40
71,CUST1070,Dara Kim,F,079 906 3725,Phnom Penh,Grocery,8560.0,Business Loan,M,Friendly,ABA,27595.0,11.5,Loan,24,2024,11.516659,104.915286,2025-09-03 23:56:40,2025-09-11 23:56:40
72,CUST1071,Sok Kim,F,015 679 1311,Phnom Penh,Coffee,15950.0,Personal Loan,L,Aggressive,Canadia,23853.0,5.4,Loan,24,2025,11.573312,104.961655,2025-09-08 23:56:40,2025-09-11 23:56:40
73,CUST1072,Ravy Savuth,F,065 907 8502,Battambang,Fruit Vendor,7280.0,Business Loan,M,Aggressive,ACLEDA,14400.0,9.2,Loan,24,2023,12.800641,103.168772,2025-07-08 23:56:40,2025-09-11 23:56:40
74,CUST1073,Ravy Heng,M,087 225 3828,Siem Reap,Phone Repair,6650.0,Savings Account,L,Friendly,Canadia,45760.0,13.2,Loan,12,2024,13.249139,103.962699,2025-07-11 23:56:40,2025-09-11 23:56:40
75,CUST1074,Ravy Pich,M,087 443 7761,Battambang,Fruit Vendor,9470.0,Personal Loan,H,Friendly,ACLEDA,24590.0,10.2,Loan,36,2025,13.210783,102.82881,2025-07-28 23:56:40,2025-09-11 23:56:40
76,CUST1075,Vannak Heng,M,092 269 7924,Battambang,Grocery,22640.0,Business Loan,M,Interested,Canadia,31613.0,12.6,Loan,36,2025,13.448521,103.154168,2025-09-11 23:56:40,2025-09-11 23:56:40
77,CUST1076,Ravy Heng,F,063 400 1328,Battambang,Grocery,6830.0,Business Loan,M,Aggressive,Canadia,6234.0,12.3,Loan,12,2023,13.039683,102.932846,2025-06-13 23:56:40,2025-09-11 23:56:40
78,CUST1077,Ravy Kim,M,061 707 8347,Kandal,Grocery,17760.0,Personal Loan,H,Friendly,ACLEDA,6558.0,10.2,Loan,24,2023,11.753074,104.844665,2025-08-11 23:56:40,2025-09-11 23:56:40
79,CUST1078,Sok Savuth,F,013 224 8847,Kandal,Coffee,21120.0,Business Loan,H,Hesitant,ABA,7051.0,7.3,Loan,36,2023,11.2531,104.770738,2025-08-24 23:56:40,2025-09-11 23:56:40
80,CUST1079,Ravy Pich,M,015 236 9970,Kandal,Fruit Vendor,20670.0,Personal Loan,H,Hesitant,ACLEDA,44246.0,13.1,Loan,36,2023,11.711158,105.161656,2025-07-24 23:56:40,2025-09-11 23:56:40
81,CUST1080,Sok Heng,F,065 968 2615,Kandal,Phone Repair,14570.0,Savings Account,H,Interested,Canadia,8145.0,11.9,Loan,12,2023,11.776947,104.842119,2025-07-19 23:56:40,2025-09-11 23:56:40
82,CUST1081,Bopha Heng,F,090 745 9813,Battambang,Grocery,10760.0,Savings Account,M,Hesitant,ACLEDA,30925.0,10.3,Loan,24,2025,13.174822,102.831514,2025-09-02 23:56:40,2025-09-11 23:56:40
83,CUST1082,Vannak Heng,F,016 511 4168,Phnom Penh,Fruit Vendor,18830.0,Business Loan,L,Friendly,Canadia,39287.0,8.7,Loan,12,2025,11.597805,104.890538,2025-09-08 23:56:40,2025-09-11 23:56:40
84,CUST1083,Sok Kim,F,071 917 8637,Kandal,Phone Repair,17240.0,Personal Loan,M,Interested,ABA,36882.0,10.2,Loan,36,2023,11.260565,105.227659,2025-06-22 23:56:40,2025-09-11 23:56:40
85,CUST1084,Vannak Heng,M,094 828 3959,Kandal,Coffee,5950.0,Savings Account,L,Hesitant,ABA,14151.0,11.3,Loan,12,2024,11.365851,104.653682,2025-08-23 23:56:40,2025-09-11 23:56:40
86,CUST1085,Vannak Savuth,F,072 812 1250,Phnom Penh,Fruit Vendor,17480.0,Personal Loan,L,Hesitant,Canadia,23679.0,10.0,Loan,36,2024,11.585064,104.931742,2025-08-30 23:56:40,2025-09-11 23:56:40
87,CUST1086,Bopha Pich,F,031 347 5097,Phnom Penh,Fruit Vendor,4410.0,Personal Loan,L,Friendly,ACLEDA,14936.0,5.3,Loan,12,2024,11.594062,104.904525,2025-06-28 23:56:40,2025-09-11 23:56:40
88,CUST1087,Dara Ly,M,083 310 2146,Phnom Penh,Grocery,21970.0,Savings Account,H,Friendly,ACLEDA,34797.0,13.8,Loan,24,2025,11.535109,104.881368,2025-07-24 23:56:40,2025-09-11 23:56:40
89,CUST1088,Ravy Ly,F,011 141 1097,Siem Reap,Fruit Vendor,8990.0,Personal Loan,M,Interested,ABA,36097.0,7.0,Loan,36,2024,13.557354,103.724384,2025-08-09 23:56:40,2025-09-11 23:56:40
90,CUST1089,Vannak Heng,F,036 894 4909,Siem Reap,Coffee,10860.0,Savings Account,H,Hesitant,ABA,29668.0,6.9,Loan,24,2024,13.522215,103.735358,2025-08-04 23:56:40,2025-09-11 23:56:40
91,CUST1090,Ravy Kim,F,054 678 3323,Battambang,Coffee,23340.0,Savings Account,H,Friendly,ACLEDA,26223.0,11.1,Loan,36,2024,13.044751,103.322073,2025-07-12 23:56:40,2025-09-11 23:56:40
92,CUST1091,Bopha Ly,M,020 836 6703,Siem Reap,Fruit Vendor,29270.0,Savings Account,M,Hesitant,Canadia,46573.0,7.5,Loan,12,2023,13.62739,103.625297,2025-08-08 23:56:40,2025-09-11 23:56:40
93,CUST1092,Sok Savuth,M,073 704 8486,Kandal,Coffee,27450.0,Personal Loan,H,Interested,ABA,27693.0,12.7,Loan,12,2023,11.457538,104.74808,2025-08-01 23:56:40,2025-09-11 23:56:40
94,CUST1093,Dara Ly,M,095 282 6395,Siem Reap,Phone Repair,23740.0,Personal Loan,M,Hesitant,ABA,8126.0,5.6,Loan,36,2024,13.158495,103.625507,2025-07-10 23:56:40,2025-09-11 23:56:40
95,CUST1094,Ravy Savuth,F,083 457 3725,Battambang,Grocery,13530.0,Savings Account,L,Aggressive,Canadia,49872.0,12.6,Loan,12,2025,12.860482,103.132642,2025-07-26 23:56:40,2025-09-11 23:56:40
96,CUST1095,Dara Pich,F,093 657 7250,Siem Reap,Coffee,14700.0,Personal Loan,L,Friendly,Canadia,44333.0,7.3,Loan,36,2023,13.319712,103.695352,2025-07-06 23:56:40,2025-09-11 23:56:40
97,CUST1096,Dara Kim,F,096 595 6904,Siem Reap,Fruit Vendor,14080.0,Business Loan,L,Interested,ABA,37778.0,9.4,Loan,36,2025,13.512564,104.122741,2025-08-06 23:56:40,2025-09-11 23:56:40
98,CUST1097,Bopha Heng,M,071 750 1925,Battambang,Phone Repair,27900.0,Savings Account,M,Interested,Canadia,39123.0,13.2,Loan,24,2025,12.929603,103.485772,2025-07-26 23:56:40,2025-09-11 23:56:40
99,CUST1098,Vannak Savuth,F,024 243 4801,Battambang,Grocery,28690.0,Business Loan,M,Aggressive,ABA,3681.0,7.2,Loan,12,2024,12.838949,103.363017,2025-06-29 23:56:40,2025-09-11 23:56:40
100,CUST1099,Vannak Ly,F,085 754 4089,Kandal,Coffee,17470.0,Business Loan,H,Interested,ABA,21230.0,11.8,Loan,12,2024,11.405585,104.703611,2025-06-13 23:56:40,2025-09-11 23:56:40
101,CUST1100,Sok Heng,M,030 363 9419,Kandal,Fruit Vendor,14230.0,Personal Loan,M,Interested,Canadia,21032.0,14.3,Loan,12,2024,11.217534,104.712084,2025-06-22 23:56:40,2025-09-11 23:56:40
102,CUST1101,Bopha Heng,F,020 884 7637,Kandal,Coffee,16390.0,Personal Loan,L,Aggressive,ACLEDA,29514.0,12.8,Loan,36,2025,11.420338,104.863574,2025-06-17 23:56:40,2025-09-11 23:56:40
103,CUST1102,Vannak Kim,M,085 637 1811,Battambang,Grocery,27610.0,Business Loan,H,Hesitant,ACLEDA,28297.0,11.1,Loan,36,2023,12.803419,103.483714,2025-09-02 23:56:40,2025-09-11 23:56:40
104,CUST1103,Vannak Savuth,M,038 928 5185,Phnom Penh,Fruit Vendor,20730.0,Business Loan,H,Hesitant,ACLEDA,37004.0,6.7,Loan,36,2024,11.558671,104.977369,2025-06-13 23:56:40,2025-09-11 23:56:40
105,CUST1104,Sok Savuth,M,075 160 2880,Siem Reap,Grocery,11530.0,Savings Account,M,Interested,Canadia,47142.0,8.8,Loan,24,2025,13.605296,103.665778,2025-07-21 23:56:40,2025-09-11 23:56:40
106,CUST1105,Bopha Heng,F,099 301 4794,Kandal,Phone Repair,5720.0,Personal Loan,L,Hesitant,Canadia,33478.0,12.8,Loan,12,2024,11.20413,104.914983,2025-09-08 23:56:40,2025-09-11 23:56:40
107,CUST1106,Dara Savuth,M,070 838 2163,Battambang,Coffee,27100.0,Savings Account,L,Interested,Canadia,10253.0,8.1,Loan,36,2024,12.918986,103.475156,2025-06-27 23:56:40,2025-09-11 23:56:40
108,CUST1107,Vannak Kim,F,048 225 1236,Siem Reap,Phone Repair,8360.0,Business Loan,L,Hesitant,ABA,23895.0,8.3,Loan,36,2023,13.282048,104.065529,2025-08-14 23:56:40,2025-09-11 23:56:40
109,CUST1108,Dara Pich,M,040 848 1716,Phnom Penh,Grocery,5180.0,Personal Loan,M,Friendly,ABA,26255.0,5.2,Loan,36,2025,11.51735,104.915566,2025-06-13 23:56:40,2025-09-11 23:56:40
110,CUST1109,Dara Savuth,M,066 880 1755,Phnom Penh,Phone Repair,5960.0,Business Loan,H,Aggressive,ABA,24822.0,7.7,Loan,36,2025,11.562432,104.886572,2025-09-02 23:56:40,2025-09-11 23:56:40
111,CUST1110,Dara Kim,M,072 917 6635,Battambang,Grocery,7370.0,Personal Loan,L,Hesitant,ABA,49558.0,13.8,Loan,24,2023,13.007023,103.450263,2025-08-28 23:56:40,2025-09-11 23:56:40
112,CUST1111,Ravy Heng,M,085 651 5359,Battambang,Fruit Vendor,16490.0,Personal Loan,H,Interested,ACLEDA,22969.0,13.2,Loan,24,2025,12.814609,103.510074,2025-07-19 23:56:40,2025-09-11 23:56:40
113,CUST1112,Sok Savuth,F,048 794 1113,Battambang,Coffee,3670.0,Savings Account,M,Aggressive,ABA,37324.0,6.1,Loan,24,2024,12.774959,102.834229,2025-07-29 23:56:40,2025-09-11 23:56:40
114,CUST1113,Dara Pich,M,026 442 4053,Kandal,Coffee,9120.0,Savings Account,H,Aggressive,ABA,39117.0,7.6,Loan,12,2025,11.228963,105.095751,2025-09-06 23:56:40,2025-09-11 23:56:40
115,CUST1114,Bopha Ly,F,060 443 6951,Phnom Penh,Coffee,23940.0,Savings Account,H,Interested,Canadia,8324.0,6.9,Loan,36,2024,11.565802,104.917427,2025-08-22 23:56:40,2025-09-11 23:56:40
116,CUST1115,Sok Heng,F,012 826 3373,Phnom Penh,Phone Repair,24830.0,Savings Account,H,Aggressive,Canadia,36531.0,12.9,Loan,12,2024,11.600655,104.965225,2025-08-17 23:56:40,2025-09-11 23:56:40
117,CUST1116,Ravy Kim,F,073 819 4923,Battambang,Coffee,28290.0,Business Loan,H,Hesitant,ACLEDA,45057.0,7.0,Loan,36,2025,12.780632,103.157331,2025-07-13 23:56:40,2025-09-11 23:56:40
118,CUST1117,Sok Ly,F,039 871 2418,Siem Reap,Grocery,7670.0,Business Loan,M,Hesitant,ABA,37505.0,6.8,Loan,12,2024,13.410838,104.06235,2025-07-28 23:56:40,2025-09-11 23:56:40
119,CUST1118,Dara Pich,F,045 558 3490,Phnom Penh,Fruit Vendor,26040.0,Business Loan,H,Interested,ACLEDA,36651.0,8.3,Loan,36,2023,11.543888,104.956444,2025-07-25 23:56:40,2025-09-11 23:56:40
